table1,table2,table3,table1alias,table2alias,table3alias,attribute11,attribute12,attribute21,attribute22,attribute31,diagrampattern1,diagrampattern2,diagrampattern3,diagrampattern4,sqlpattern1,sqlpattern2,sqlpattern3,sqlpattern4,answer1,answer2,answer3,answer4
Sailor,Reserves,Boat,S,R,B,sname,sid,bid,sid,bid,uxntvglxydfa,ckmbijmjlvrl,lfgndsgbvpqm,ljqcfmhtgxid,unmflqlvewtu,evbfvzekfcbl,yrdjzdptxeho,mjzhmueuxvhj,Find sailors who have reserved **some** boat.,Find sailors who have **not** reserved **any** boat.,Find sailors who have **not** reserved **all** boats.,Find sailors who have reserved **all** boats.
Student,Takes,Course,S,T,C,sname,sid,cid,sid,cid,tymrgbtdwryx,spuorxkrgcty,aagasjtrkshm,gpjehwoxxafq,tdvzvdcrvevv,iwrzclhcvyyx,nrgwoqlizovo,kixmldsprhvd,Find students who took **some** course.,Find students who did **not** take any course.,Find students who did **not** take **all** courses.,Find students who took **all** courses.
Actor,Plays,Movie,A,P,M,aname,aid,mid,aid,mid,cvwxlbecbjod,ehzjtlozihbl,kmhlwadpzpwe,pbflafjgwzto,mjlolmikvzqn,grjthdgcfkgx,hechdhxqmzab,jjosqbdwynye,Find actors who play in **some** movie.,Find actors who do **not** play in **any** movie.,Find actors who do **not** play in **all** movies.,Find actors who play in **all** movies.
Supplier,Supplies,Part,S,SP,Part,name,sno,pno,sno,pno,jjzqnlukdbfi,wlzxqrdomhmy,vdzjfewyymch,mdvzyicmrywa,xtupmfebeplx,gmfmyedimlfh,pwpndkxglwmu,irojtqwffkoj,Find suppliers who supply **some** part.,Find suppliers who do **not** supply **any** part.,Find suppliers who do **not** supply **all** parts.,Find suppliers who supply **all** parts.
Employee,Works_on,Project,E,W,Part,lname,ssn,pno,essn,pnumber,nnlmukzedmco,qozjhjhfdusl,bbgujydyzkar,xxddfftxepbx,gkfprksqvzon,gfgnnctuuylq,zdynbjjdvvjh,lszvknnnqxcn,Find employees who work on **some** project.,Find employees who do **not** work on **any** project.,Find employees who do **not** work on **all** projects.,Find employees who work on **all** projects.
Tourist,Visits,Country,T,V,C,name,tid,cid,tid,cid,aizxcrstyhli,gjboxpffuddu,bpcevxvvfocw,cgoagmechovk,fdbdglnddibw,fimbquifujzq,vcxtgecxowkx,fahrezzdtmmr,Find tourists who visit **some** country.,Find tourists who do **not** visit **any** country.,Find tourists who do **not** visit **all** countries.,Find tourists who visit **all** countries.
Customer,Rents,Vehicle,C,R,V,name,cid,vid,cide,vid,hadcdfzdxxur,ypsemxlpplzy,rkgqkucrrmtm,pwfhwmkfnuvb,bwrukhzexubr,whsoypkyaeci,nrfmdcfxpshe,xaexslsffled,Find customers who rent **some** vehicle.,Find customers who do **not** rent **any** vehicle.,Find customers who do **not** rent **all** vehicles.,Find customers who rent **all** vehicles.
Student,Passes,Exam,S,P,E,name,ID,exam_id,ID,exam_id,hclodumgwreq,ktdasezhcwnv,vdormjyjflqd,hmwqygcvbjgd,usuwymljunvf,jnpjbrzcdpxt,dhxrhxuelssr,qmkabkclovet,Find students who pass **some** exam.,Find students who do **not** pass **any** exam.,Find students who do **not** pass **all** exams.,Find students who pass **all** exams.
Director,Directs,Movie,D,DM,M,name,did,mid,did,mid,ynxvsplsrbsu,nmrzmkzladfd,ivntdnmvgerc,wrhgopejvndo,jxgknezwlkvo,riyhdwlxlcmb,zqqdqvcvwdru,ndinyrsiiwjp,Find directors who direct **some** movie.,Find directors who do **not** direct **any** movie.,Find directors who do **not** direct **all** movies.,Find directors who direct **all** movies.
Company,Produces,Article,C,P,A,name,cid,aid,cid,aid,lgvymoiceobf,pyapqfogqkng,uasmkvpweqoe,bjnhubebncbq,nmowhjnwmcce,glcttizendmn,zhqsscxtgudo,jhsikyxqfbdg,Find companies that produce **some** article.,Find companies that do **not** produce **any** article.,Find companies that do **not** produce **all** articles.,Find companies that produce **all** articles.
Student,Participates_in,Project,S,PP,P,name,sid,pid,sid,pid,nmkiubpucfrz,cmjmnnbcbkbh,akmiuzanlwya,aquasfxdkool,jvzptjnkeqrd,fnuxujavklxh,kwwyslmkjncn,ufpgzhlztdre,Find students who participate in **some** project.,Find students who do **not** participate in **any** project.,Find students who do **not** participate in **all** projects.,Find students who participate in **all** projects.
Friend,Visits,Park,F,V,P,name,id,pid,id,pid,gxwscryejkog,oomhhatgocpx,dotnmjplcfbk,nqedmctdzlue,bvwwnmhfjpsm,bcljfjjtahbs,cfuncjivrndp,lcyuceyhawsl,Find friends who visit **some** park.,Find friends who do **not** visit **any** park.,Find friends who do **not** visit **all** parks.,Find friends who visit **all** parks.
Guest,Rents,Room,G,GR,R,name,gid,rid,gid,rid,ymfivdhymfss,yofalkshevwo,abxurssisths,ocsxhtsjmkeh,ebqxfrebjqov,eytsqjrgfklj,dfbkkjqnqimy,vwzfkywzqqtw,Find guests who rent **some** room.,Find guests who do **not** rent **any** room.,Find guests who do **not** rent **all** rooms.,Find guests who rent **all** rooms.
Employee,Attends,Class,E,A,C,name,eid,cid,eid,cid,ywvcfnozkoje,hjmwcuarmrtc,umvqixuxfuud,krfohhwomxji,mpyjyunbrkji,cogsamtbqukh,kazcsnrvqpqe,zyfkwvkshjfw,Find employees who attend **some** class.,Find employees who do **not** attend **any** class.,Find employees who do **not** attend **all** classes.,Find employees who attend **all** classes.
Customer,Watches,Movie,C,W,M,name,cid,mid,cid,mid,xstztqidehsm,vppqhcrjbupj,tbrrfaosfieh,piptathhbtgd,xszzlgeazpvl,wxoedsvrcoqa,dwzhhmbktvxb,ypoqiquplemx,Find customers who watch **some** movie.,Find customers who do **not** watch **any** movie.,Find customers who do **not** watch **all** movies.,Find customers who watch **all** movies.
Merchant,Sells,Part,M,SP,P,name,mid,pid,mid,pid,wtekboryarym,hcytjlfjikct,gwoppcxygkvk,uohaktdboaxw,sydpgnegbghp,bivlvjxtjelc,gebdyljyoavr,mhkvcihlsjxo,Find merchants who sell **some** part.,Find merchants who do **not** sell **any** part.,Find merchants who do **not** sell **all** parts.,Find merchants who sell **all** parts.
User,Visits,Webpage,U,V,W,name,uid,url,uid,url,pgpicsmyiiwn,lttehpekyfpt,vnjcuxzaeytg,cxvoikjpxbgd,qdngucqnawet,rjtgggwggqvx,jywfrllfnkwe,gioqgpkapufw,Find users who visit **some** web page.,Find users who do **not** visit **any** web page.,Find users who do **not** visit **all** web pages.,Find users who visit **all** web pages.
Company,Has_office_in,City,C,H,CI,name,id,cid,id,cid,byqbnmddtxud,mmwhzsqxnocd,souehqwvmgkg,trxadodnwxtk,iuqukeinsdvs,nhsoyfsijgwr,lrydxwnpgyhe,knxknnhwqbvy,Find companies that have offices in **some** city.,Find companies that do **not** have offices in **any** city.,Find companies that do **not** have offices in **all** cities.,Find companies that have offices in **all** cities.
Friend,Borrows,Item,F,B,I,name,fid,id,fid,id,llgxihghhpit,bfptecytznwt,puowjvphyiqc,lepgjvosuexs,ezdjersxzdge,szaeanaypuxb,bzxyjzjhxvbx,wroifvfzwjil,Find friends who have borrowed **some** item.,Find friends who have **not** borrowed **any** item.,Find friends who have **not** borrowed **all** items.,Find friends who have borrowed **all** items.
Instructor,Teaches,Class,I,T,C,name,id,cid,id,cid,crvlrzncqooy,qslupflqdztm,btztaeyybdhr,rbcjcsjdmxll,sijevihrxjye,sumzvwzzuyml,jrrtmrdprgdq,ggjnfamaxshl,Find instructors who teach **some** class.,Find instructors who do **not** teach **any** class.,Find instructors who do **not** teach **all** classes.,Find instructors who teach **all** classes.
Friend,Knows,Film,FR,K,FI,name,fid,id,fid,id,xnvaicsmammt,fxcabrdkgjbs,orfnpzwfxuta,ynsptcgqpwoh,adzxlrlsrbwu,uvryarrvdwmk,xgxcltqypnsf,fwxmxuvmoxjn,Find friends who know **some** film.,Find friends who do **not** know **any** film.,Find friends who do **not** know **all** films.,Find friends who do know **all** films.
Company,Sells,Product,C,S,P,name,cno,pno,cno,pno,tcfcvssssokt,eallywlnorlz,hdapzienwjcy,deeanapoghtr,dnknijklkztg,avkurnnxucwo,kifazyopivrl,zhpmkejnyins,Find companies that sell **some** product.,Find companies that do **not** sell **any** product.,Find companies that do **not** sell **all** products.,Find companies that sell **all** products.
Playlist,Contains,Song,P,C,S,name,pid,sid,pid,sid,xhdwelbauani,mzipgtftnlaa,idywkloemxue,lxvqoiczyoyk,vmnonpxworvl,fhtdlhfekubn,vgclmvkhcukf,rnmqenqiruxf,Find playlists that contain **some** song.,Find playlists that do **not** contain **any** song.,Find playlists that do **not** contain **all** songs.,Find playlists that contain **all** songs.
Book,Available_in,Language,B,A,L,name,bid,lid,bid,lid,iunepvcqejke,wfsenkdqdftu,qenndkaamvts,tlagwkhemuda,zkmkfwjjmcfd,mpzhrwmnqnsp,jkshqhszgeez,bkdybzruwifl,Find books that are available in **some** language.,Find books that are **not** available in **any** language.,Find books that are **not** available in **all** languages.,Find books that are available in **all** languages.
Client,Hires,Contractor,CL,H,CO,name,id,cid,id,cid,lgvoceuekwzl,wiyckyhrvskx,ajskevtgvshk,rkrwwwqdicsn,qlitjogwhcio,pyfuvqdkcddj,edvqbkacckzw,ijhgsmisjemy,Find clients that hire **some** contractor.,Find clients that do **not** hire **any** contractor.,Find clients that do **not** hire **all** contractors.,Find clients that hire **all** contractors.
Instructor,Belongs_to,Department,I,B,D,name,id,did,id,did,cbydonxbibkl,bdpuzwlxlgiz,nkqzifngwddz,kaxvdaaxfnss,nkwxfakkptfb,mgehgkxojhvx,xnqdidivntas,vpdvxznoucml,Find instructors who belong to **some** department.,Find instructors who do **not** belong to **any** department.,Find instructors who do **not** belong to **all** departments.,Find instructors who belong to **all** departments.
Channel,Shows,Movie,C,S,M,name,cid,mid,cid,mid,hgvjihzocsjb,zpiwhieneldm,duhbqnpgiheq,qsamztrrdxhs,mprjpugvjklo,boayuhzryqzs,pwjyqgutoqyl,oeidlbdrlnxg,Find channels that show **some** movie.,Find channels that do **not** show **any** movie.,Find channels that do **not** show **all** movies.,Find channels that show **all** movies.
Customer,Orders,Product,C,O,P,name,cid,pid,cid,pid,urcvhtushusw,mbdvptdsjnrq,cjjibbbxfijt,aosqxhlgokvv,cqxtnmplgbar,vlldxaqsalas,qausigiusrwh,jxarmhvjesey,Find customers who order **some** product.,Find customers who do **not** order **any** product.,Find customers who do **not** order **all** products.,Find customers who order **all** products.
User,Has,Permission,U,H,P,name,uid,pid,uid,pid,mwmzlcgjrncy,unpwfzpdwufg,skdtxiwobjjy,lacjrkvhuskm,lgxjxqkqxdnz,zrebluoxeiju,hkcakkanbved,yqfwoaakgmks,Find users how have **some** permission.,Find users how do **not** have **any** permission.,Find users how do **not** have **all** permissions.,Find users how have **all** permissions.
Dish,Contains,Ingredient,D,C,I,name,did,id,did,id,bwxeuzmtfcfc,twfvxjkidczp,snlnfsdgatdm,vjmcrnavcuvp,pmdbllkgdvoo,pqhbnwdbteyt,oxovurrjeeot,ucpkqsmsruor,Find dishes that contain **some** ingredient.,Find dishes that do **not** contain **any** ingredient.,Find dishes that do **not** contain **all** ingredients.,Find dishes that contain **all** ingredients.
Vehicle,Has,Feature,V,H,FI,name,vid,fid,vid,fid,gxpvpjqbckfc,lwmdhpbdhjsn,vxecbdraidfj,hgpsqzneddvt,mpiegogosjrr,tniotnwmpssg,ufhpbwisbqoz,vybxuhouared,Find vehicles that have **some** feature.,Find vehicles that do **not** have **any** feature.,Find vehicles that do **not** have **all** features.,Find vehicles that have **all** features.
Passenger,Reserves,Seat,P,R,S,name,pid,sno,pid,sno,qldbexbpsneh,rtbphnjtuxda,gsienaruveak,dnyegsusoijl,zemmcsdwawnx,bsvdmcrutask,obymiciphoou,ixwgefvfbdnz,Find passengers who reserve **some** seat.,Find passengers who do **not** reserve **any** seat.,Find passengers who do **not** reserve **all** seats.,Find passengers who reserve **all** seats.
User,Likes,Image,U,L,I,name,uid,id,uid,id,goobskvpyjhl,bmdrsxyptemh,wacstlaaykpo,kyrlykltfprd,gczvbjoncvgc,pqwelulloyxt,qsgzsznfbxlw,tyyoycdqwifm,Find users who like **some** image.,Find users who do **not** like **any** image.,Find users who do **not** like **all** images.,Find users who like **all** images.
Person,Member_of,Department,P,M,D,name,id,did,id,did,xryjtmthkrjg,ouwuhwyqaqof,lrjofrdoaeqa,yxdwgewyiepn,xxtcoazuftel,zpnxdbtbtlni,cgooghzvlalf,folwilifmvwk,Find persons who are members of **some** department.,Find persons who are **not** members of **any** department.,Find persons who are **not** members of **all** departments.,Find persons who are members of **all** departments.
Order,Includes,Product,O,I,P,number,oid,pid,oid,pid,uvdtjmfmhzpn,aircvhpllszq,rsdmtihcqzkd,ahsrhgsgciya,wwvsuzyosbap,fnbbhjulaavf,sbshalzexstj,sxcshqdhbhfp,Find orders that include **some** product.,Find orders that do **not** include **any** product.,Find orders that do **not** include **all** products.,Find orders that include **all** products.
Movie,Available_in,Language,M,A,L,name,mid,lid,mid,lid,asoaqwoluhms,jcxavwsjiyio,esteqlyixhvm,sicxjzrnzjxn,wyrxpohevfmt,honokpjwwyrk,ioqitrwyexzp,uqhoqptygzcw,Find movies that are available in **some** language.,Find movies that are **not** available in **any** language.,Find movies that are **not** available in **all** languages.,Find movies that are available in **all** languages.